timestamp,sensor,target,socket,cpu,RAPL_ENERGY_PKG,time_enabled,time_running
1739717317322,sensor,all,0,8,35045376000,449838502385,449838502385
1739717317322,sensor,all,0,9,35045376000,449838502275,449838502275
1739717317322,sensor,all,0,0,35045376000,449838501575,449838501575
1739717317322,sensor,all,0,1,35045376000,449838499865,449838499865
1739717317322,sensor,all,0,2,35045376000,449838498255,449838498255
1739717317823,sensor,all,0,3,32238993408,450338870700,450338870700
1739717317823,sensor,all,0,11,32238993408,450338875990,450338875990
1739717317823,sensor,all,0,10,29886775296,450338878810,450338878810
1739717317823,sensor,all,0,4,32238993408,450338877880,450338877880
1739717317823,sensor,all,0,5,29886775296,450338879030,450338879030
1739717317823,sensor,all,0,6,29886775296,450338879810,450338879810
1739717317823,sensor,all,0,7,29886775296,450338879730,450338879730
1739717317823,sensor,all,0,8,29886775296,450338879570,450338879570
1739717317823,sensor,all,0,9,29886775296,450338878790,450338878790
1739717317823,sensor,all,0,0,29886775296,450338878440,450338878440
1739717317823,sensor,all,0,1,29886775296,450338876930,450338876930
1739717317823,sensor,all,0,2,29886775296,450338875340,450338875340
1739717318323,sensor,all,0,3,28809691136,450839258015,450839258015
1739717318323,sensor,all,0,11,28809691136,450839263915,450839263915
1739717318323,sensor,all,0,10,28809691136,450839267265,450839267265
1739717318323,sensor,all,0,4,28809691136,450839265925,450839265925
1739717318323,sensor,all,0,5,28809691136,450839267855,450839267855
1739717318323,sensor,all,0,6,28809691136,450839268165,450839268165
1739717318323,sensor,all,0,7,28809691136,450839269315,450839269315
1739717318323,sensor,all,0,8,28809691136,450839271495,450839271495
1739717318323,sensor,all,0,9,28809691136,450839271105,450839271105
1739717318323,sensor,all,0,0,28809691136,450839270465,450839270465
1739717318323,sensor,all,0,1,28809691136,450839269025,450839269025
1739717318323,sensor,all,0,2,28809691136,450839267905,450839267905
1739717318824,sensor,all,0,3,36731879424,451339631671,451339631671
1739717318824,sensor,all,0,11,36731879424,451339636681,451339636681
1739717318824,sensor,all,0,10,36731879424,451339639171,451339639171
1739717318824,sensor,all,0,4,36731879424,451339638421,451339638421
1739717318824,sensor,all,0,5,36731879424,451339639381,451339639381
1739717318824,sensor,all,0,6,36731879424,451339640181,451339640181
1739717318824,sensor,all,0,7,36731879424,451339640731,451339640731
1739717318824,sensor,all,0,8,36731879424,451339642911,451339642911
1739717318824,sensor,all,0,9,37294964736,451339643231,451339643231
1739717318824,sensor,all,0,0,37294964736,451339642511,451339642511
1739717318824,sensor,all,0,1,37294964736,451339640641,451339640641
1739717318824,sensor,all,0,2,37294964736,451339638981,451339638981
1739717319324,sensor,all,0,3,28214820864,451840022166,451840022166
1739717319324,sensor,all,0,11,28214820864,451840028546,451840028546
1739717319324,sensor,all,0,10,28214820864,451840031506,451840031506
1739717319324,sensor,all,0,4,28214820864,451840030376,451840030376
1739717319324,sensor,all,0,5,28214820864,451840032536,451840032536
1739717319324,sensor,all,0,6,28214820864,451840033166,451840033166
1739717319324,sensor,all,0,7,28214820864,451840033046,451840033046
1739717319324,sensor,all,0,8,27651735552,451840033406,451840033406
1739717319324,sensor,all,0,9,27651735552,451840032536,451840032536
1739717319324,sensor,all,0,0,27651735552,451840031936,451840031936
1739717319324,sensor,all,0,1,27651735552,451840030356,451840030356
1739717319324,sensor,all,0,2,27651735552,451840029076,451840029076
1739717319824,sensor,all,0,3,32597606400,452340167191,452340167191
1739717319824,sensor,all,0,11,32597606400,452340173581,452340173581
1739717319824,sensor,all,0,10,32597606400,452340177001,452340177001
1739717319824,sensor,all,0,4,32597606400,452340176011,452340176011
1739717319824,sensor,all,0,5,32597606400,452340177351,452340177351
1739717319824,sensor,all,0,6,32597606400,452340178381,452340178381
1739717319824,sensor,all,0,7,32597606400,452340178411,452340178411
1739717319824,sensor,all,0,8,32597606400,452340180401,452340180401
1739717319824,sensor,all,0,9,32597606400,452340181841,452340181841
1739717319824,sensor,all,0,0,32597606400,452340182241,452340182241
1739717319824,sensor,all,0,1,32597606400,452340180571,452340180571
1739717319824,sensor,all,0,2,32597606400,452340179081,452340179081
1739717320324,sensor,all,0,3,29221519360,452840573077,452840573077
1739717320324,sensor,all,0,11,29221519360,452840579707,452840579707
1739717320324,sensor,all,0,10,29221519360,452840583047,452840583047
1739717320324,sensor,all,0,4,29221519360,452840582017,452840582017
1739717320324,sensor,all,0,5,31514951680,452840583907,452840583907
1739717320324,sensor,all,0,6,31514951680,452840584717,452840584717
1739717320324,sensor,all,0,7,31514951680,452840585667,452840585667
1739717320324,sensor,all,0,8,31514951680,452840588267,452840588267
1739717320324,sensor,all,0,9,31514951680,452840588237,452840588237
1739717320324,sensor,all,0,0,31514951680,452840587597,452840587597
1739717320324,sensor,all,0,1,31514951680,452840586007,452840586007
1739717320324,sensor,all,0,2,31514951680,452840584407,452840584407
1739717320825,sensor,all,0,3,32163627008,453341068872,453341068872
1739717320825,sensor,all,0,11,32163627008,453341074472,453341074472
1739717320825,sensor,all,0,10,32163627008,453341077262,453341077262
1739717320825,sensor,all,0,4,32163627008,453341076082,453341076082
1739717320825,sensor,all,0,5,29870194688,453341077782,453341077782
1739717320825,sensor,all,0,6,29870194688,453341078172,453341078172
1739717320825,sensor,all,0,7,29870194688,453341079322,453341079322
1739717320825,sensor,all,0,8,29870194688,453341081402,453341081402
1739717320825,sensor,all,0,9,29870194688,453341081902,453341081902
1739717320825,sensor,all,0,0,29870194688,453341081482,453341081482
1739717320825,sensor,all,0,1,29870194688,453341079772,453341079772
1739717320825,sensor,all,0,2,29870194688,453341078022,453341078022
1739717321325,sensor,all,0,3,31758811136,453841462928,453841462928
1739717321325,sensor,all,0,11,31758811136,453841469278,453841469278
1739717321325,sensor,all,0,10,31758811136,453841472508,453841472508
1739717321325,sensor,all,0,4,31758811136,453841471318,453841471318
1739717321325,sensor,all,0,5,31758811136,453841473118,453841473118
1739717321325,sensor,all,0,6,32409911296,453841474278,453841474278
1739717321325,sensor,all,0,7,32409911296,453841474648,453841474648
1739717321325,sensor,all,0,8,32409911296,453841475008,453841475008
1739717321325,sensor,all,0,9,32409911296,453841474878,453841474878
1739717321325,sensor,all,0,0,32409911296,453841474308,453841474308
1739717321325,sensor,all,0,1,32409911296,453841472728,453841472728
1739717321325,sensor,all,0,2,32409911296,453841471398,453841471398
1739717321826,sensor,all,0,3,34182201344,454342023303,454342023303
1739717321826,sensor,all,0,11,34182201344,454342028933,454342028933
1739717321826,sensor,all,0,10,34182201344,454342031133,454342031133
1739717321826,sensor,all,0,4,34182201344,454342030463,454342030463
1739717321826,sensor,all,0,5,34182201344,454342031383,454342031383
1739717321826,sensor,all,0,6,33531101184,454342031953,454342031953
1739717321826,sensor,all,0,7,33531101184,454342032303,454342032303
1739717321826,sensor,all,0,8,33531101184,454342033883,454342033883
